time,freq,dur,vel,name
8.268,155.56,0.36,0.5,D#3
8.408,1046.5,0.151,0.62,C6
8.55,77.78,0.9,0.51,D#2
8.558,739.99,0.139,0.7,F#5
8.698,233.08,0.244,0.35,A#3
8.698,698.46,0.209,0.5,F5
8.86,116.54,0.873,0.54,A#2
8.906,739.99,0.22,0.41,F#5
9.011,622.25,0.395,0.56,D#5
9.161,311.13,0.163,0.35,D#4
9.185,155.56,0.535,0.38,D#3
9.429,233.08,0.256,0.39,A#3
9.451,196.0,0.304,0.61,G3
9.451,698.46,0.199,0.54,F5
9.731,155.56,0.534,0.43,D#3
9.731,311.13,0.244,0.46,D#4
9.731,932.33,0.233,0.54,A#5
9.779,103.83,0.534,0.43,G#2
9.79,51.91,0.499,0.44,G#1
10.023,830.61,0.233,0.44,G#5
10.139,466.16,0.081,0.31,A#4
10.312,523.25,0.569,0.51,C5
10.324,103.83,0.558,0.46,G#2
10.324,207.65,0.465,0.42,G#3
10.324,622.25,0.244,0.41,D#5
10.429,51.91,0.43,0.42,G#1
10.614,155.56,0.279,0.46,D#3
10.614,466.16,0.209,0.31,A#4
10.614,698.46,0.301,0.57,F5
10.672,77.78,0.163,0.38,D#2
10.916,98.0,1.185,0.51,G2
10.916,587.33,0.418,0.53,D5
10.916,698.46,0.384,0.53,F5
10.928,493.88,0.441,0.43,B4
10.939,196.0,0.325,0.4,G3
10.998,49.0,1.011,0.45,G1
11.206,146.83,0.116,0.38,D3
11.358,622.25,0.304,0.5,D#5
11.369,493.88,0.419,0.48,B4
11.486,392.0,0.07,0.31,G4
11.498,196.0,0.29,0.45,G3
11.788,196.0,0.627,0.45,G3
11.788,493.88,0.29,0.49,B4
11.788,587.33,0.301,0.55,D5
11.788,739.99,0.244,0.51,F#5
11.8,146.83,0.279,0.52,D3
11.8,246.94,0.163,0.36,B3
12.079,65.41,1.115,0.6,C2
12.079,698.46,0.441,0.52,F5
12.09,130.81,0.279,0.39,C3
12.09,587.33,0.406,0.58,D5
12.391,155.56,1.139,0.45,D#3
12.415,98.0,0.105,0.31,G2
12.543,622.25,0.29,0.5,D#5
12.683,196.0,0.593,0.46,G3
12.833,622.25,0.139,0.59,D#5
12.973,587.33,0.301,0.56,D5
12.973,739.99,0.267,0.57,F#5
13.111,466.16,0.151,0.32,A#4
13.25,77.78,0.9,0.51,D#2
13.263,698.46,0.304,0.54,F5
13.274,233.08,0.373,0.48,A#3
13.274,466.16,0.419,0.35,A#4
13.274,587.33,0.419,0.61,D5
13.473,116.54,0.07,0.37,A#2
13.554,116.54,0.882,0.55,A#2
13.694,466.16,0.627,0.46,A#4
13.705,622.25,0.314,0.5,D#5
13.832,311.13,0.604,0.43,D#4
13.879,155.56,0.558,0.43,D#3
14.146,196.0,0.325,0.61,G3
14.146,932.33,0.301,0.54,A#5
14.448,155.56,0.534,0.41,D#3
14.448,311.13,0.233,0.5,D#4
14.448,932.33,0.186,0.46,A#5
14.483,103.83,1.081,0.43,G#2
14.495,51.91,1.035,0.41,G#1
14.726,830.61,0.244,0.5,G#5
14.739,466.16,0.244,0.33,A#4
15.029,523.25,0.559,0.5,C5
15.029,783.99,0.174,0.28,G5
15.04,207.65,0.605,0.45,G#3
